Course,KSA,KSA Description,Category,Objective
CIT130,3,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems,Vulnerabilities Assessment,
CIT130,4,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data,Vulnerabilities Assessment,
CIT130,5,Ability to match the appropriate knowledge repository technology for a given application or environment,Knowledge Management,
CIT130,7,Knowledge of ?knowledge base? capabilities for identifying the solutions to less common and more complex system problems,Knowledge Management,
CIT130,8,Knowledge of access authentication methods,Identity Management,
CIT130,9,Knowledge of applicable business processes and operations of customer organizations,Requirements Analysis,
CIT130,10,Knowledge of application vulnerabilities,Vulnerabilities Assessment,
CIT130,12,"Knowledge of communication methods, principles, and concepts (e.g., cryptography, dual hubs, time multiplexers) that support the network infrastructure",Infrastructure Design,"2.Describe how data is communicated as a signal      4. Discuss the structure and components of business phone and data networks 7. Demonstrate knowledge of media, topologies, hub/switches, routers, and network interface cards "
CIT130,15,"Knowledge of capabilities and applications of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware",Hardware,"7. Demonstrate knowledge of media, topologies, hub/switches, routers, and network interface cards 13. Explain the role of clients, servers and associated security issues "
CIT130,16,Knowledge of capabilities and requirements analysis,Requirements Analysis,
CIT130,17,Knowledge of certified ethical hacking principles and techniques,Vulnerabilities Assessment,
CIT130,18,Knowledge of circuit analysis,Computers and Electronics,
CIT130,19,"Knowledge of Computer Network Defense tools, including open source tools, and their capabilities",Computer Network Defense,
CIT130,20,Knowledge of complex data structures,Object Technology,
CIT130,21,Knowledge of computer algorithms,Mathematical Reasoning,
CIT130,22,Knowledge of computer networking fundamentals,Infrastructure Design,4. Discuss the structure and components of business phone and data networks 
CIT130,23,Knowledge of computer programming principles such as object-oriented design,Object Technology,
CIT130,24,Knowledge of concepts and practices of processing digital forensic data,Data Management,
CIT130,25,"Knowledge of critical protocols (e.g., IPSEC, AES, GRE, IKE, MD5, SHA, 3DES).",Cryptography,
CIT130,27,Knowledge of cryptology,Cryptography,
CIT130,28,Knowledge of data administration and data standardization policies and standards,Data Management,3. Explain and identify the role of standards and standards organizations in the data communications market place   
CIT130,29,"Knowledge of data backup, types of backups (e.g., full, incremental), and recovery concepts and tools",Computer Forensics,
CIT130,31,Knowledge of data mining and data warehousing principles,Data Management,
CIT130,32,"Knowledge of database management systems, query languages, table relationships, and views",Database Management Systems,
CIT130,33,Knowledge of database procedures used for documenting and querying reported incidents,Incident Management,
CIT130,34,Knowledge of database systems,Database Management Systems,
CIT130,35,Knowledge of digital rights management,Encryption,
CIT130,37,Knowledge of disaster recovery and continuity of operations plans.,Incident Management,
CIT130,38,Knowledge of organization's enterprise information security architecture system,Information Assurance,
